File_name, Nb_evac_nodes, Graph_length, Borne_Sup_Min, Borne_Sup_Max, Avg_Execution_time
dense_10_30_3_1_I, 10, 126, 181, 207, 0.024636673927307125
dense_10_30_3_2_I, 10, 140, 181, 280, 0.053159308433532705
dense_10_30_3_3_I, 10, 120, 181, 280, 0.11160290241241455
dense_10_30_3_4_I, 10, 81, 181, 291, 0.16336348056793215
dense_10_30_3_5_I, 10, 102, 181, 291, 0.1992674350738526
dense_10_30_3_6_I, 10, 113, 181, 291, 0.2446440219879151
dense_10_30_3_7_I, 10, 54, 181, 291, 0.26788086891174323
dense_10_30_3_8_I, 10, 95, 181, 291, 0.3184457778930664
dense_10_30_3_9_I, 10, 88, 181, 292, 0.3566434860229492
dense_10_30_3_10_I, 10, 96, 181, 292, 0.392849349975586
medium_10_30_3_1_I, 10, 131, 181, 292, 0.4213703155517579
medium_10_30_3_2_I, 10, 95, 181, 292, 0.4418188333511353
medium_10_30_3_3_I, 10, 66, 181, 295, 0.46724984645843515
medium_10_30_3_4_I, 10, 71, 181, 308, 0.5056502580642701
medium_10_30_3_5_I, 10, 89, 181, 308, 0.5348690032958985
medium_10_30_3_6_I, 10, 91, 181, 308, 0.5632960319519045
medium_10_30_3_7_I, 10, 65, 181, 308, 0.5904231786727908
medium_10_30_3_8_I, 10, 101, 181, 308, 0.6231376171112064
medium_10_30_3_9_I, 10, 94, 181, 308, 0.650960206985474
medium_10_30_3_10_I, 10, 91, 181, 308, 0.678689002990723
sparse_10_30_3_1_I, 10, 85, 143, 308, 0.6978402853012088
sparse_10_30_3_2_I, 10, 71, 143, 308, 0.712096691131592
sparse_10_30_3_3_I, 10, 80, 143, 308, 0.731145763397217
sparse_10_30_3_4_I, 10, 79, 143, 308, 0.7610663652420047
sparse_10_30_3_5_I, 10, 79, 143, 308, 0.7831073045730593
sparse_10_30_3_6_I, 10, 66, 143, 308, 0.8053482055664063
sparse_10_30_3_7_I, 10, 54, 143, 308, 0.822399425506592
sparse_10_30_3_8_I, 10, 67, 143, 308, 0.8425481796264649
sparse_10_30_3_9_I, 10, 83, 143, 308, 0.8623980045318606
sparse_10_30_3_10_I, 10, 50, 143, 308, 0.8788511514663699
